"song_name","song_popularity","song_duration_ms","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","audio_mode","speechiness","tempo","time_signature","audio_valence","artist_name","album_names","playlist","image"
"Royals","80","190185","0.106","0.616","0.43200000000000005","0.0","7","0.132","-9.546","1","0.133","84.77799999999999","4","0.302","Lorde","Pure Heroine","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/d/d3/Lorde_-_Royals.png/220px-Lorde_-_Royals.png"
"Zebra","48","288720","0.855","0.608","0.474","0.00573","8","0.141","-8.312000000000001","1","0.0273","118.37799999999999","3","0.252","Beach House","Teen Dream","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/f/f2/Beach_House_Zebra_Artwork.jpg/220px-Beach_House_Zebra_Artwork.jpg"
"Snap Out Of It","74","193030","0.249","0.728","0.638","0.0","5","0.11599999999999999","-6.455","0","0.0336","130.014","4","0.872","Arctic Monkeys","AM","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/8/8f/Arctic_Monkeys_Snap_Out_of_It.jpg/220px-Arctic_Monkeys_Snap_Out_of_It.jpg"
"Dancing On My Own","47","288670","0.0576","0.68","0.8640000000000001","0.19899999999999998","6","0.08900000000000001","-4.761","1","0.0344","117.022","4","0.27699999999999997","Robyn","Body Talk Pt. 1","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/1/16/DancingOnMyOwn.jpg/220px-DancingOnMyOwn.jpg"
"I Know There's Gonna Be (Good Times)","62","213622","0.12","0.45799999999999996","0.597","0.0","11","0.47700000000000004","-9.919","0","0.22","89.455","4","0.484","Jamie xx","In Colour","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/f/f4/Jamie_xx_-_I_Know_There%27s_Gonna_Be_%28Good_Times%29_cover_art.jpg/220px-Jamie_xx_-_I_Know_There%27s_Gonna_Be_%28Good_Times%29_cover_art.jpg"
"Pretty Pimpin","67","298760","0.0928","0.5660000000000001","0.664","0.305","8","0.0903","-9.081","1","0.0281","91.117","4","0.764","Kurt Vile","b'lieve i'm goin down...","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/8/8d/PrettyPimpin.jpg/220px-PrettyPimpin.jpg"
"Sleep Alone","53","236440","0.00011100000000000001","0.521","0.759","0.00292","0","0.0931","-5.008","1","0.0419","148.04399999999998","4","0.552","Two Door Cinema Club","Beacon","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/b/b6/SleepAloneTDCC.jpg/220px-SleepAloneTDCC.jpg"
"Boyfriend","36","149813","0.10099999999999999","0.256","0.872","0.10800000000000001","0","0.13699999999999998","-3.822","1","0.0519","115.072","4","0.575","Best Coast","Crazy For You","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/2/2c/Boyfriend_BC.jpg/220px-Boyfriend_BC.jpg"
"Busy Earnin'","64","181772","0.209","0.457","0.883","5.11e-06","10","0.0912","-5.61","0","0.0376","99.93700000000001","4","0.736","Jungle","Jungle","Alternative 10s","//upload.wikimedia.org/wikipedia/en/a/ae/Busy_Earnin%27_by_Jungle.jpeg"
"Ready to Start","62","255893","0.12","0.282","0.932","0.0335","9","0.0692","-4.7010000000000005","1","0.0387","190.08","4","0.536","Arcade Fire","The Suburbs","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/6/6f/39_Arcadefire_readytostartjpg231110.jpg/220px-39_Arcadefire_readytostartjpg231110.jpg"
"Limit To Your Love","61","276720","0.5489999999999999","0.775","0.281","0.242","10","0.0941","-10.216000000000001","0","0.096","139.951","4","0.0398","James Blake","James Blake","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/9/9f/Limit_to_Your_Love.jpg/220px-Limit_to_Your_Love.jpg"
"Yet Again","54","318423","0.00345","0.47200000000000003","0.875","0.00576","4","0.128","-5.024","0","0.0446","136.064","4","0.461","Grizzly Bear","Shields","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/1/19/Yetagaingrizzlybear.jpg/220px-Yetagaingrizzlybear.jpg"
"Necessary Evil","60","317800","0.045","0.828","0.7240000000000001","0.0618","9","0.132","-7.2170000000000005","1","0.113","96.2","4","0.6940000000000001","Unknown Mortal Orchestra","Multi-Love","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/5/50/Unknown_Mortal_Orchestra_-_Multi-Love_album_cover.jpg/220px-Unknown_Mortal_Orchestra_-_Multi-Love_album_cover.jpg"
"It's Real","50","168493","0.00928","0.419","0.856","0.0964","2","0.124","-5.443","1","0.0298","152.009","4","0.721","Real Estate","Days","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/0/0a/Real_estate_-_days_%28cover%29.jpg/220px-Real_estate_-_days_%28cover%29.jpg"
"If You're Never Gonna Move","43","207240","0.226","0.618","0.565","0.0845","2","0.105","-10.08","1","0.0334","101.006","4","0.828","Jessie Ware","Devotion - The Gold Edition","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/e/ea/110%25JessieWaresong.jpg/220px-110%25JessieWaresong.jpg"
"Them Changes","57","188385","0.5429999999999999","0.785","0.546","0.000551","8","0.0929","-8.644","1","0.0644","81.67699999999999","4","0.7190000000000001","Thundercat","Drunk","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/3/3c/The_Beyond_-_Where_the_Giants_Roam_%28Front_Cover%29.png/220px-The_Beyond_-_Where_the_Giants_Roam_%28Front_Cover%29.png"
"Queen","39","230720","0.225","0.41600000000000004","0.523","0.0663","1","0.18600000000000003","-5.579","1","0.0291","132.015","4","0.133","Perfume Genius","Too Bright","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/c/c4/Too_Bright_Perfume_Genius.jpg/220px-Too_Bright_Perfume_Genius.jpg"
"(No One Knows Me) Like the Piano","67","218160","0.976","0.621","0.19899999999999998","0.00186","10","0.107","-13.788","1","0.0344","128.905","4","0.17800000000000002","Sampha","Process","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/9/99/Process_-_Sampha_album.jpg/220px-Process_-_Sampha_album.jpg"
"Keep Your Name","55","270172","0.44299999999999995","0.542","0.485","0.0007379999999999999","0","0.4","-7.443","0","0.0361","112.435","4","0.345","Dirty Projectors","Dirty Projectors","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Dirty_Projectors_2017_album_cover.jpg/220px-Dirty_Projectors_2017_album_cover.jpg"
"Step","66","251626","0.591","0.624","0.7240000000000001","7.79e-06","10","0.10099999999999999","-7.1129999999999995","1","0.10099999999999999","78.008","4","0.624","Vampire Weekend","Modern Vampires of the City","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/e/ee/Vampire_Weekend_Step.jpg/220px-Vampire_Weekend_Step.jpg"
"Cupid","51","223986","0.0514","0.46799999999999997","0.716","0.0952","0","0.0766","-4.854","1","0.0499","108.115","4","0.375","The Big Moon","Love In The 4th Dimension","Alternative 10s","//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Eros_bow_Musei_Capitolini_MC410.jpg/220px-Eros_bow_Musei_Capitolini_MC410.jpg"
"Simple Song","45","255400","0.0133","0.546","0.878","0.0","7","0.135","-5.1370000000000005","1","0.0525","119.945","4","0.35","The Shins","Port Of Morrow","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/b/b6/The_Shins_-_Simple_Song.jpg/220px-The_Shins_-_Simple_Song.jpg"
"The Sound","68","248879","0.085","0.648","0.9359999999999999","6.93e-06","0","0.48200000000000004","-4.745","1","0.0762","120.708","4","0.5660000000000001","The 1975","I like it when you sleep, for you are so beautiful yet so unaware of it","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/b/b8/The_1975_-_The_Sound.jpg/220px-The_1975_-_The_Sound.jpg"
"Marks To Prove It","47","254546","0.0008460000000000001","0.298","0.92","0.175","7","0.0958","-6.79","1","0.10099999999999999","170.967","4","0.185","The Maccabees","Marks To Prove It","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/d/de/The-maccabees-marks-to-prove-it.jpg/220px-The-maccabees-marks-to-prove-it.jpg"
"Bad Girls","69","227520","0.0012900000000000001","0.64","0.92","0.0","1","0.0914","-2.597","1","0.0594","143.434","4","0.361","M.I.A.","Matangi","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/7/70/Mia_badgirls.png/220px-Mia_badgirls.png"
"So Now You Know","42","302786","0.0033799999999999998","0.441","0.8490000000000001","1.69e-06","6","0.348","-5.0280000000000005","1","0.0347","96.01","4","0.121","The Horrors","Luminous","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/The_Horrors_-_Luminous%2C_album_front_cover_art.jpg/220px-The_Horrors_-_Luminous%2C_album_front_cover_art.jpg"
"Concrete","49","214106","0.00966","0.446","0.902","0.00301","2","0.135","-4.698","1","0.0423","92.49600000000001","4","0.203","Shame","Songs of Praise","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/3/34/Concrete_Shame.jpg/220px-Concrete_Shame.jpg"
"Figure It Out","70","184053","0.262","0.657","0.8170000000000001","0.00674","0","0.248","-4.415","1","0.0554","107.995","4","0.6509999999999999","Royal Blood","Royal Blood","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/c/cd/Royal_Blood_-_Figure_It_Out_%28Artwork%29.jpg/220px-Royal_Blood_-_Figure_It_Out_%28Artwork%29.jpg"
"Best of Friends","43","210067","8.55e-06","0.237","0.88","0.84","0","0.085","-3.945","1","0.0505","130.144","4","0.309","Palma Violets","180","Alternative 10s","//upload.wikimedia.org/wikipedia/en/c/c7/BestOfFriends_logo.jpg"
"Inspector Norse","59","400751","0.07400000000000001","0.912","0.7809999999999999","0.762","7","0.348","-7.018","0","0.0444","119.978","4","0.89","Todd Terje","It's the Arps","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/c/ce/Todd_Terje_-_Inspector_Norse_cover_art.jpg/220px-Todd_Terje_-_Inspector_Norse_cover_art.jpg"
"Lose It","32","270706","0.331","0.596","0.5539999999999999","0.0862","5","0.126","-7.176","1","0.0266","138.015","4","0.494","Austra","Feel It Break (Deluxe Version)","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/d/d4/Supergrass-Lose_It.jpg/220px-Supergrass-Lose_It.jpg"
"Two Weeks","58","247547","0.0625","0.48","0.7170000000000001","0.000685","0","0.0814","-6.662999999999999","1","0.23","109.756","4","0.335","FKA twigs","LP1","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/c/cf/FKA_Two_Weeks_Cover.jpg/220px-FKA_Two_Weeks_Cover.jpg"
"She Said","59","225653","0.000294","0.42200000000000004","0.9490000000000001","0.0","7","0.073","-3.7889999999999997","1","0.0694","165.032","4","0.635","Sundara Karma","Youth is Only Ever Fun in Retrospect","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/8/81/She_Said_%28Plan_B_song%29_coverart.jpg/220px-She_Said_%28Plan_B_song%29_coverart.jpg"
"Are You with Me Now?","43","260573","0.00323","0.603","0.633","0.0347","0","0.0722","-7.792000000000001","1","0.0259","141.565","4","0.721","Cate le Bon","Mug Museum","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/8/87/Sixxam_this-is-gonna-hurt.jpg/220px-Sixxam_this-is-gonna-hurt.jpg"
"Devil's Spoke","15","218188","0.473","0.447","0.568","0.00028","2","0.0824","-9.172","1","0.0423","117.561","4","0.309","Laura Marling","I Speak Because I Can","Alternative 10s","//upload.wikimedia.org/wikipedia/en/thumb/9/9b/Laura_Marling_-_Devil%27s_Spoke.jpg/220px-Laura_Marling_-_Devil%27s_Spoke.jpg"
"Walrus","50","190986","0.301","0.611","0.6659999999999999","0.121","6","0.122","-6.777","1","0.0631","175.91099999999997","4","0.8540000000000001","D.D Dumbo","Utopia Defeated","Alternative 10s","//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Pacific_Walrus_-_Bull_%288247646168%29.jpg/220px-Pacific_Walrus_-_Bull_%288247646168%29.jpg"
"All Along the Watchtower","78","240800","0.00255","0.43799999999999994","0.805","5.6899999999999994e-05","8","0.0842","-6.237","1","0.0624","113.25299999999999","4","0.564","Jimi Hendrix","Electric Ladyland","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/5/56/Bob_Dylan_All_Along_the_Watchtower_single_cover.jpg/220px-Bob_Dylan_All_Along_the_Watchtower_single_cover.jpg"
"Fortunate Son","40","140773","0.20800000000000002","0.643","0.669","0.006640000000000001","0","0.151","-7.485","1","0.0398","132.709","4","0.609","Creedence Clearwater Revival","Willy And The Poor Boys (40th Anniversary Edition)","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/2/21/Fortunate_Son_label.jpeg/220px-Fortunate_Son_label.jpeg"
"All Day and All of the Night","13","142226","0.247","0.563","0.915","8.46e-05","7","0.0613","-5.062","1","0.08","136.345","4","0.71","The Kinks","Kinks (Deluxe Edition)","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/0/08/Kinks_AllDay.jpg/220px-Kinks_AllDay.jpg"
"She's Not There","18","145306","0.6559999999999999","0.517","0.535","0.0","4","0.0743","-8.331","0","0.0441","132.08","4","0.777","The Zombies","The Zombies","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/c/cf/She%27s_Not_There_single.jpg/220px-She%27s_Not_There_single.jpg"
"The House Of The Rising Sun","73","269906","0.000334","0.316","0.484","0.00445","9","0.0912","-9.11","0","0.0308","117.363","3","0.299","The Animals","The Singles Plus","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/a/a8/Rising_sun_animals_US.jpg/220px-Rising_sun_animals_US.jpg"
"White Rabbit","70","150640","0.486","0.551","0.293","0.000273","2","0.0864","-12.503","1","0.0272","106.79799999999999","4","0.322","Jefferson Airplane","Surrealistic Pillow","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/5/53/White_Rabbit_label.jpg/220px-White_Rabbit_label.jpg"
"Liar, Liar","7","110493","0.831","0.465","0.484","0.78","7","0.248","-13.882","0","0.0345","146.007","4","0.807","Castaways","20th Century Rocks: 60's Rock Bands - Wild Thing","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/3/3d/Liar_Liar_poster.JPG/220px-Liar_Liar_poster.JPG"
"I Fought The Law","57","138360","0.105","0.593","0.804","2.22e-06","7","0.047","-5.497000000000001","1","0.0319","148.959","4","0.9620000000000001","The Bobby Fuller Four","Never To Be Forgotten - The Mustang Years","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/2/2a/IFoughtTheLawBF4single.jpg/220px-IFoughtTheLawBF4single.jpg"
"For What It's Worth","75","153693","0.406","0.653","0.519","0.0209","2","0.10099999999999999","-10.164","1","0.0497","98.883","4","0.8220000000000001","Buffalo Springfield","Buffalo Springfield","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/7/79/For_What_It%27s_Worth_single.jpg/220px-For_What_It%27s_Worth_single.jpg"
"96 Tears","30","177426","0.0586","0.68","0.507","6.49e-06","7","0.0754","-5.928999999999999","1","0.0336","123.47","4","0.8540000000000001","? & The Mysterians","Cameo Parkway 1957-1967 (Original Hit Recordings)","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/4/4b/96-Tears-1966.jpg/220px-96-Tears-1966.jpg"
"Have Love Will Travel","55","160400","0.727","0.506","0.948","0.0","10","0.0904","-5.626","1","0.105","130.195","4","0.934","The Sonics","Here Are the Sonics","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/a/ad/Richard_Berry_Flip_349_Label_Scan.jpg/220px-Richard_Berry_Flip_349_Label_Scan.jpg"
"Louie Louie","68","165381","0.102","0.623","0.7090000000000001","0.0","1","0.0967","-9.818","0","0.0636","122.39399999999999","4","0.948","The Kingsmen","The Best of The Kingsmen","Alternative 60s","//upload.wikimedia.org/wikipedia/en/4/4c/Flip_321_Label.jpg"
"Itchycoo Park","49","172746","0.395","0.601","0.596","2.34e-06","9","0.451","-8.029","1","0.0734","128.168","4","0.503","Small Faces","Small Faces: The Singles Collection","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/b/b7/SmallFacesItchycooPark.jpg/220px-SmallFacesItchycooPark.jpg"
"Fire","46","174160","0.541","0.439","0.882","0.6709999999999999","5","0.7929999999999999","-9.036","0","0.087","138.55100000000002","4","0.317","Arthur Brown","The Crazy World Of Arthur Brown","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/c/c9/ArthurBrownFire.jpg/220px-ArthurBrownFire.jpg"
"I Wanna Be Your Dog","62","188560","0.0229","0.527","0.871","0.155","4","0.419","-8.708","1","0.0354","120.72200000000001","4","0.107","The Stooges","The Stooges","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/0/03/I_Wanna_Be_Your_Dog.jpg/220px-I_Wanna_Be_Your_Dog.jpg"
"Sunshine Of Your Love","32","250000","0.475","0.684","0.48100000000000004","6.57e-05","2","0.11800000000000001","-12.59","1","0.0384","115.07799999999999","4","0.784","Cream","Disraeli Gears (Remastered)","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/2/2d/Sunshine_of_your_love_single.jpg/220px-Sunshine_of_your_love_single.jpg"
"Seven and Seven Is","34","139160","0.004379999999999999","0.45299999999999996","0.7879999999999999","0.000121","9","0.131","-9.23","0","0.0341","78.50399999999999","4","0.55","Love","Da Capo","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/d/d4/Sevenandsevenis45.jpg/220px-Sevenandsevenis45.jpg"
"Piece Of My Heart","47","266240","0.406","0.429","0.665","0.00011","4","0.409","-9.681000000000001","1","0.14","160.499","4","0.5429999999999999","Janis Joplin","Janis","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/e/ef/Erma_Franklin_cover.jpg/220px-Erma_Franklin_cover.jpg"
"Making Time","39","178066","0.111","0.43200000000000005","0.917","3.48e-06","2","0.11199999999999999","-7.067","1","0.12","70.947","4","0.45","The Creation","Our Music Is Red - With Purple Flashes","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/0/0e/Making_Time.jpg/220px-Making_Time.jpg"
"Misirlou","46","160840","0.0914","0.423","0.8959999999999999","0.6679999999999999","4","0.35","-9.555","1","0.0368","99.156","4","0.732","Dick Dale and his Del-Tones","Greatest Hits 1961 - 1976","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/e/e5/Miserlou_-_Dick_Dale_single.jpg/220px-Miserlou_-_Dick_Dale_single.jpg"
"Dirty Water","43","169160","0.0284","0.6509999999999999","0.8190000000000001","0.0","4","0.0654","-4.888999999999999","1","0.0403","143.382","4","0.7809999999999999","The Standells","Fever Pitch (Original Motion Picture Soundtrack)","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/b/b8/Dirty_Water.jpg/220px-Dirty_Water.jpg"
"Incense And Peppermints","9","167453","0.0405","0.491","0.649","0.0","4","0.0851","-11.115","1","0.0305","133.174","4","0.6809999999999999","Strawberry Alarm Clock","Incense And Peppermints","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Incense_and_Peppermints_single.jpg/220px-Incense_and_Peppermints_single.jpg"
"I Had Too Much To Dream (Last Night)","49","178266","0.354","0.341","0.7140000000000001","0.0","2","0.31","-7.997999999999999","0","0.0404","147.60399999999998","4","0.41200000000000003","The Electric Prunes","I Had Too Much To Dream (Last Night)","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/d/dd/Electric_Prunes_-_I_Had_Too_Much_to_Dream_%28Last_Night%29.jpg/220px-Electric_Prunes_-_I_Had_Too_Much_to_Dream_%28Last_Night%29.jpg"
"Friday On My Mind","57","163293","0.38","0.374","0.991","0.000719","9","0.0929","-1.101","1","0.0813","95.105","4","0.51","The Easybeats","Easy","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/1/16/Friday_on_My_Mind.jpg/220px-Friday_on_My_Mind.jpg"
"(We Ain't Got) Nothin' Yet","7","134853","0.11900000000000001","0.41","0.904","4.61e-05","0","0.078","-7.98","0","0.0537","148.597","4","0.8320000000000001","The Blues Magoos","60's Gold","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/d/dc/%28We_Ain%27t_Got%29_Nothin%27_Yet.jpg/220px-%28We_Ain%27t_Got%29_Nothin%27_Yet.jpg"
"I Want Candy","43","177506","0.0273","0.669","0.848","0.0869","8","0.0881","-10.072000000000001","0","0.03","102.04799999999999","4","0.6609999999999999","The Strangeloves","I Want Candy: The Best Of The Strangeloves","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/9/99/I_want_candy_the_strangeloves_vinyl_side_a_label.jpg/220px-I_want_candy_the_strangeloves_vinyl_side_a_label.jpg"
"Psychotic Reaction","2","121720","0.00275","0.23399999999999999","0.8320000000000001","0.166","10","0.321","-6.622000000000001","1","0.0476","159.043","4","0.831","Positively 13 O'Clock","60s Garage Rock Nuggets","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/Psychotic_Reaction_Count_Five.jpg/220px-Psychotic_Reaction_Count_Five.jpg"
"Light My Fire","71","429760","0.369","0.413","0.725","2.1600000000000003e-05","3","0.0905","-5.787000000000001","0","0.0324","124.618","4","0.44","The Doors","The Doors","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Lightmyfire67.jpg/220px-Lightmyfire67.jpg"
"Turn! Turn! Turn! (To Everything There Is a Season)","65","229360","0.135","0.452","0.818","2.72e-05","2","0.052000000000000005","-8.124","1","0.0439","124.47399999999999","4","0.755","The Byrds","Turn! Turn! Turn!","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/7/78/TheByrdsTurnTurnTurn.jpg/220px-TheByrdsTurnTurnTurn.jpg"
"Crimson And Clover","56","209640","0.235","0.408","0.6920000000000001","0.0255","11","0.19699999999999998","-9.478","1","0.0685","82.499","4","0.684","Tommy James & The Shondells","Anthology","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/f/f4/Crimson_and_Clover.jpg/220px-Crimson_and_Clover.jpg"
"A Whiter Shade Of Pale","67","248946","0.504","0.249","0.66","0.0026","0","0.0891","-6.905","1","0.0342","149.813","4","0.435","Procol Harum","A Whiter Shade Of Pale","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/6/6f/Awsop-procol-harum.gif/220px-Awsop-procol-harum.gif"
"Telstar","43","195093","0.00252","0.196","0.7509999999999999","0.667","9","0.37799999999999995","-7.39","1","0.0405","145.719","4","0.629","The Tornados","Telstar","Alternative 60s","//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Telstar_satellite-CnAM_35181-IMG_5408-gradient.jpg/260px-Telstar_satellite-CnAM_35181-IMG_5408-gradient.jpg"
"Surfin' Bird","16","134560","0.0506","0.57","0.991","1.85e-05","4","0.43","-9.384","1","0.0652","101.461","4","0.72","The Trashmen","Surfin' Bird Bird Dance Beat","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/6/6c/Surfin%27_Bird.jpg/220px-Surfin%27_Bird.jpg"
"Johnny Remember Me","4","158266","0.273","0.321","0.84","1.39e-05","2","0.0869","-6.106","0","0.0891","144.392","4","0.485","John Leyton","Telstar: The Joe Meek Story OST","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/2/21/Johnnyrememberme.jpg/220px-Johnnyrememberme.jpg"
"Magic Carpet Ride","26","271573","0.142","0.64","0.6509999999999999","0.28","4","0.0341","-14.981","0","0.0517","111.676","4","0.8009999999999999","Steppenwolf","The Second","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/3/36/Magic_Carpet_Ride.png/220px-Magic_Carpet_Ride.png"
"Maggie's Farm","48","234626","0.48100000000000004","0.415","0.72","0.0","7","0.185","-11.177","1","0.0492","176.785","4","0.619","Bob Dylan","Bringing It All Back Home","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/b/b1/Maggie%27s_Farm_single_cover.jpg/220px-Maggie%27s_Farm_single_cover.jpg"
"Light Flight","42","194333","0.40299999999999997","0.516","0.494","0.0102","7","0.11199999999999999","-11.077","0","0.0311","89.45200000000001","3","0.8140000000000001","Pentangle","Basket of Light","Alternative 60s","//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pentangle2007.jpg/220px-Pentangle2007.jpg"
"Terry","35","191493","0.213","0.603","0.506","0.0","9","0.0553","-9.531","1","0.0391","124.95299999999999","4","0.735","Twinkle","Golden Lights","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/9/96/Twinkle_Terry.jpg/220px-Twinkle_Terry.jpg"
"Philosophy of the World","35","177840","0.69","0.39299999999999996","0.649","0.0","4","0.159","-9.103","0","0.0541","114.054","4","0.6970000000000001","The Shaggs","Philosophy of the World","Alternative 60s","//upload.wikimedia.org/wikipedia/en/thumb/d/d0/Shaggs_philosophy_of_the_world.jpg/220px-Shaggs_philosophy_of_the_world.jpg"
"Love Will Tear Us Apart","71","206866","5.24e-05","0.44299999999999995","0.956","0.825","2","0.135","-6.1979999999999995","1","0.0511","146.754","4","0.909","Joy Division","The Best Of","Alternative 70s","//upload.wikimedia.org/wikipedia/en/thumb/2/28/Love_Will_Tear_Us_Apart_song.jpg/220px-Love_Will_Tear_Us_Apart_song.jpg"
"Hong Kong Garden","15","175906","0.000642","0.614","0.721","0.0817","0","0.16699999999999998","-8.962","1","0.0322","146.629","4","0.708","Siouxsie and the Banshees","The Scream (Remastered & Expanded)","Alternative 70s","//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/HK_HongKongGarden_Blk1-4.JPG/220px-HK_HongKongGarden_Blk1-4.JPG"
"Another Girl Another Planet","49","180093","0.179","0.325","0.688","0.00010400000000000001","4","0.13699999999999998","-12.472999999999999","1","0.11699999999999999","156.349","4","0.37799999999999995","The Only Ones","Another Girl Another Planet The Best Of","Alternative 70s","//upload.wikimedia.org/wikipedia/en/thumb/9/96/Onlyonesgirl.jpg/220px-Onlyonesgirl.jpg"
"Anarchy In The UK","60","212480","0.0556","0.359","0.9490000000000001","0.000396","0","0.23600000000000002","-7.649","1","0.10099999999999999","134.118","4","0.212","Sex Pistols","Never Mind The Bollocks, Here’s The Sex Pistols","Alternative 70s","//upload.wikimedia.org/wikipedia/en/thumb/c/c8/Sexpistolsemianarchysingle.jpg/220px-Sexpistolsemianarchysingle.jpg"
"Teenage Kicks","45","148480","0.0011","0.415","0.782","0.0","2","0.14","-6.745","1","0.0461","135.029","4","0.564","The Undertones","The Undertones (30th Anniversary Edition)","Alternative 70s","//upload.wikimedia.org/wikipedia/en/thumb/9/9c/Teenage_Kicks.jpg/220px-Teenage_Kicks.jpg"
"Immigrant Song","78","146250","0.013000000000000001","0.564","0.932","0.16899999999999998","11","0.349","-10.068","1","0.0554","112.93700000000001","4","0.619","Led Zeppelin","Led Zeppelin III (Remastered)","Alternative 70s","//upload.wikimedia.org/wikipedia/en/thumb/d/db/Led_Zeppelin_-_Immigrant_Song.jpg/220px-Led_Zeppelin_-_Immigrant_Song.jpg"
"This Town Ain't Big Enough For Both Of Us","39","185826","0.358","0.462","0.703","0.00047699999999999994","2","0.332","-12.690999999999999","1","0.0663","129.821","4","0.691","Sparks","Kimono My House","Alternative 70s","//upload.wikimedia.org/wikipedia/en/thumb/c/c5/Starks_-_TTABEFTBOU.jpg/220px-Starks_-_TTABEFTBOU.jpg"
"Cars","65","238906","0.00967","0.542","0.578","5.9699999999999994e-05","2","0.0674","-8.755","1","0.0404","128.0","4","0.809","Gary Numan","The Pleasure Principle","Alternative 70s","//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/401_Gridlock.jpg/300px-401_Gridlock.jpg"
