"song_name","song_popularity","song_duration_ms","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","audio_mode","speechiness","tempo","time_signature","audio_valence","artist_name","album_names","playlist","image"
"Kryptonite","79","233933","0.006640000000000001","0.545","0.865","1.12e-05","11","0.168","-5.707999999999999","0","0.0286","99.01","4","0.5429999999999999","3 Doors Down","The Better Life","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/c/c2/3-Doors-Down-Kryptonite-437099.jpg/220px-3-Doors-Down-Kryptonite-437099.jpg"
"The Kill (Bury Me)","69","231533","0.0014","0.309","0.912","0.000271","4","0.5820000000000001","-3.8810000000000002","0","0.0646","183.035","3","0.302","Thirty Seconds To Mars","A Beautiful Lie","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/c/cd/30_Seconds_to_Mars_-_The_Kill.jpg/220px-30_Seconds_to_Mars_-_The_Kill.jpg"
"Use Somebody","79","230760","0.005520000000000001","0.276","0.715","0.000417","0","0.201","-5.356","1","0.0432","137.028","4","0.17300000000000001","Kings of Leon","Only By The Night","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/a/a0/Use_Somebody.jpg/220px-Use_Somebody.jpg"
"No One Knows","13","255066","0.0137","0.518","0.5379999999999999","0.000398","0","0.141","-5.818","1","0.0486","170.953","4","0.687","Queens of the Stone Age","No One Knows (International Version)","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/f/f6/Queens_of_the_Stone_Age_-_No_One_Knows_%28German_CD%29.jpg/220px-Queens_of_the_Stone_Age_-_No_One_Knows_%28German_CD%29.jpg"
"Jerk It Out","62","195666","0.0171","0.58","0.981","1.07e-05","8","0.386","-2.603","0","0.06","134.007","4","0.861","Caesars","Love For The Streets","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/7/7c/Jerk_It_Out_-_The_Caesars.jpg/220px-Jerk_It_Out_-_The_Caesars.jpg"
"Uprising","77","304840","0.000202","0.602","0.905","0.064","2","0.11699999999999999","-4.046","1","0.0775","128.019","4","0.41100000000000003","Muse","The Resistance","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/2/26/MuseUprisingCDsingle.jpg/220px-MuseUprisingCDsingle.jpg"
"Hey There Delilah","79","232533","0.872","0.657","0.29100000000000004","0.0","2","0.114","-10.572000000000001","1","0.0293","103.973","4","0.298","Plain White T's","All That We Needed","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/d/dd/Plain_white_t%27s_here_there_delilah.jpg/220px-Plain_white_t%27s_here_there_delilah.jpg"
"Blurry","28","303920","0.0102","0.44","0.932","0.0","3","0.142","-4.488","0","0.0584","157.438","4","0.495","Puddle Of Mudd","Come Clean (Repackaged International Version)","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/1/13/Pomb.jpg/220px-Pomb.jpg"
"American Idiot","78","176346","2.64e-05","0.38","0.988","7.859999999999999e-05","1","0.368","-2.042","1","0.0639","186.113","4","0.769","Green Day","American Idiot","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/1/13/Green_Day_-_American_Idiot_single_cover.jpg/220px-Green_Day_-_American_Idiot_single_cover.jpg"
"Welcome to the Black Parade","77","311106","0.00028900000000000003","0.217","0.905","0.00011","2","0.222","-4.103","1","0.0752","96.95","4","0.23600000000000002","My Chemical Romance","The Black Parade","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/c/c7/Welcome_to_the_Black_Parade_cover.jpg/220px-Welcome_to_the_Black_Parade_cover.jpg"
"Gives You Hell","71","213106","0.0156","0.7140000000000001","0.725","0.0","4","0.0726","-6.4110000000000005","1","0.0402","99.988","4","0.59","The All-American Rejects","When The World Comes Down","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/8/8c/I_HOPE_IT_GIVES_YOU_HELL.jpg/220px-I_HOPE_IT_GIVES_YOU_HELL.jpg"
"All My Life","11","262733","0.000194","0.5820000000000001","0.597","0.000273","5","0.517","-5.671","1","0.0512","167.738","4","0.674","Foo Fighters","ONE BY ONE","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/d/d1/Allmylife1.jpg/220px-Allmylife1.jpg"
"Like a Stone","77","293960","0.00797","0.614","0.568","0.0","7","0.0997","-5.477","0","0.0276","107.84899999999999","4","0.516","Audioslave","Audioslave","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/c/cf/Audioslave_like_a_stone.png"
"It's Been Awhile","65","264706","0.0018899999999999998","0.509","0.774","0.000549","6","0.14300000000000002","-4.053999999999999","1","0.0338","116.529","4","0.0824","Staind","Break The Cycle","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/4/4b/Staind_it%27s_been_awhile.png"
"I Hate Everything About You","75","231480","0.00461","0.498","0.83","0.0","6","0.139","-5.157","0","0.0421","89.34200000000001","4","0.45299999999999996","Three Days Grace","Three Days Grace (Deluxe Version)","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/f/ff/Three_days_grace_i_hate_everything_about_you.png"
"Rollin' (Air Raid Vehicle)","74","213760","0.00506","0.599","0.932","0.0","9","0.26899999999999996","-3.3280000000000003","1","0.18","96.234","4","0.6920000000000001","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/3/37/Rollin.jpg/220px-Rollin.jpg"
"Fat Lip","74","178266","0.000618","0.574","0.9109999999999999","0.0","9","0.0769","-5.176","1","0.0715","98.075","4","0.573","Sum 41","All Killer, No Filler","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/6/6e/Sum41fatlip.jpg/220px-Sum41fatlip.jpg"
"The Pretender","11","269373","0.000917","0.433","0.9590000000000001","0.0","9","0.027999999999999997","-4.04","1","0.0431","172.984","4","0.365","Foo Fighters","Echoes, Silence, Patience & Grace","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/8/8b/The_Pretender_FF_New_Single.jpg/220px-The_Pretender_FF_New_Single.jpg"
"Savior","73","242280","0.00164","0.5489999999999999","0.93","6.670000000000001e-05","5","0.39","-3.468","0","0.0487","112.447","4","0.526","Rise Against","Appeal To Reason","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/9/9d/Rise_Against_-_Savior_%28Single%29_Cover.jpg/220px-Rise_Against_-_Savior_%28Single%29_Cover.jpg"
"Bodies","74","201960","0.0034700000000000004","0.6559999999999999","0.932","0.00147","4","0.14400000000000002","-3.405","0","0.0708","130.936","4","0.544","Drowning Pool","Sinner","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/4/49/Drowning_Pool-Bodies_CD_Cover.jpg/220px-Drowning_Pool-Bodies_CD_Cover.jpg"
"Sugar, We're Goin Down","79","229093","0.00898","0.499","0.8240000000000001","0.0","7","0.163","-4.7410000000000005","1","0.0794","161.977","4","0.6990000000000001","Fall Out Boy","From Under The Cork Tree","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/d/d9/Fall_Out_Boy_-_Sugar%2C_We%27re_Goin_Down_%28Official_Single_Cover%29.png/220px-Fall_Out_Boy_-_Sugar%2C_We%27re_Goin_Down_%28Official_Single_Cover%29.png"
"Last Nite","70","193373","0.0223","0.624","0.899","0.000155","0","0.0975","-5.71","1","0.0295","104.055","4","0.797","The Strokes","Is This It","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/2/22/The_Strokes_-_Last_Nite_-_CD_single_cover.jpg/220px-The_Strokes_-_Last_Nite_-_CD_single_cover.jpg"
"Through Glass","60","282946","0.0417","0.545","0.753","0.0","3","0.389","-4.618","0","0.036000000000000004","105.75399999999999","4","0.434","Stone Sour","Come What[ever] May","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/2/23/Throughglassstonesour.jpg/220px-Throughglassstonesour.jpg"
"The Diary of Jane - Single Version","69","200546","5.5299999999999996e-05","0.374","0.961","0.0834","10","0.138","-4.421","0","0.0851","167.032","4","0.35700000000000004","Breaking Benjamin","Phobia (Explicit Version)","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/8/89/Breaking_benjamin_the_diary_of_jane.png"
